id,account,total_appraised_value_2019,pct_value_change,new_owner_date,sq_ft,acreage,latitude,longitude,zip_code,neighborhood_code,neighborhood,Offense_Count,school_id,school_type,school_rating,flood_risk,sales_neighborhood_2019
27,50410000010,148166,9.999480315,2005-12-12,1418,0.1148,29.75531,-95.38234,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Elementary,65,1,27
27,50410000010,148166,9.999480315,2005-12-12,1418,0.1148,29.75531,-95.38234,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Middle,65,1,27
27,50410000010,148166,9.999480315,2005-12-12,1418,0.1148,29.75531,-95.38234,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912322,High,95,1,27
29,50420000017,376000,4.126280809,2012-09-26,1560,0.0857,29.75467,-95.38282,77019,8318.06,BUCKNER STREET T/H'S,2310,101912058,Elementary,65,1,90
29,50420000017,376000,4.126280809,2012-09-26,1560,0.0857,29.75467,-95.38282,77019,8318.06,BUCKNER STREET T/H'S,2310,101912058,Middle,65,1,90
29,50420000017,376000,4.126280809,2012-09-26,1560,0.0857,29.75467,-95.38282,77019,8318.06,BUCKNER STREET T/H'S,2310,101912322,High,95,1,90
30,50440000001,35918,9.999081248,1997-03-22,1668,0.0367,29.7555,-95.38322,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
30,50440000001,35918,9.999081248,1997-03-22,1668,0.0367,29.7555,-95.38322,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
30,50440000001,35918,9.999081248,1997-03-22,1668,0.0367,29.7555,-95.38322,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
31,50440000013,111111,10,1995-01-05,813,0.0918,29.75558,-95.38334,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
31,50440000013,111111,10,1995-01-05,813,0.0918,29.75558,-95.38334,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
31,50440000013,111111,10,1995-01-05,813,0.0918,29.75558,-95.38334,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
32,50460000007,155442,15.55221861,2017-11-07,870,0.0671,29.754,-95.38322,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
32,50460000007,155442,15.55221861,2017-11-07,870,0.0671,29.754,-95.38322,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
32,50460000007,155442,15.55221861,2017-11-07,870,0.0671,29.754,-95.38322,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
33,50460000013,196566,9.999608275,2013-07-19,792,0.0528,29.75404,-95.38348,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
33,50460000013,196566,9.999608275,2013-07-19,792,0.0528,29.75404,-95.38348,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
33,50460000013,196566,9.999608275,2013-07-19,792,0.0528,29.75404,-95.38348,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
34,50460000014,289030,-0.922796361,2015-04-23,3298,0.0562,29.75405,-95.38338,77019,8317,BAKER/OTHERS,2310,101912058,Elementary,65,1,6
34,50460000014,289030,-0.922796361,2015-04-23,3298,0.0562,29.75405,-95.38338,77019,8317,BAKER/OTHERS,2310,101912058,Middle,65,1,6
34,50460000014,289030,-0.922796361,2015-04-23,3298,0.0562,29.75405,-95.38338,77019,8317,BAKER/OTHERS,2310,101912322,High,95,1,6
37,90700020001,148166,9.999480315,2003-03-04,1375,0.0582,29.7566,-95.37829,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Elementary,65,1,27
37,90700020001,148166,9.999480315,2003-03-04,1375,0.0582,29.7566,-95.37829,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Middle,65,1,27
37,90700020001,148166,9.999480315,2003-03-04,1375,0.0582,29.7566,-95.37829,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912322,High,95,1,27
38,90700020002,281338,89.88026943,2018-09-07,1336,0.0582,29.7566,-95.37821,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Elementary,65,1,27
38,90700020002,281338,89.88026943,2018-09-07,1336,0.0582,29.7566,-95.37821,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912058,Middle,65,1,27
38,90700020002,281338,89.88026943,2018-09-07,1336,0.0582,29.7566,-95.37821,77019,8318.01,FOURTH WARD DEED RESTR,2310,101912322,High,95,1,27
